,public transport,cycling infrastructure,sidewalks,residential,public safety,commercial,educational,recreational,healthcare,percentage,coordinates
منطقه ۱,83,8,644,2879,10,170,73,627,177,100.0,"[{'lat': 36.3164062, 'lon': 59.5859143}, {'lat': 36.3194043, 'lon': 59.5826554}]"
منطقه ۱۱,15,1,1163,2493,6,99,28,435,72,100.0,"[{'lat': 36.3183929, 'lon': 59.5414781}, {'lat': 36.3198422, 'lon': 59.541824}, {'lat': 36.3243976, 'lon': 59.5430324}, {'lat': 36.32597, 'lon': 59.5434495}, {'lat': 36.326077, 'lon': 59.5434779}, {'lat': 36.3261639, 'lon': 59.543501}]"
منطقه ۵,24,0,469,3072,7,51,19,256,29,88.89,"[{'lat': 36.2924812, 'lon': 59.6310097}, {'lat': 36.2918053, 'lon': 59.6309105}, {'lat': 36.2891431, 'lon': 59.630525}]"
منطقه ۶,33,0,316,2282,7,18,6,274,13,88.89,"[{'lat': 36.2513942, 'lon': 59.7047338}, {'lat': 36.2564209, 'lon': 59.712882}, {'lat': 36.2561787, 'lon': 59.7178172}, {'lat': 36.2518874, 'lon': 59.7237396}, {'lat': 36.2446702, 'lon': 59.7212537}]"
منطقه ثامن,22,0,272,701,8,44,14,323,24,88.89,"[{'lat': 36.2924812, 'lon': 59.6310097}, {'lat': 36.2918053, 'lon': 59.6309105}, {'lat': 36.2891431, 'lon': 59.630525}]"
منطقه ۳,63,0,690,5000,12,75,21,722,43,88.89,"[{'lat': 36.3362895, 'lon': 59.6062435}, {'lat': 36.3383941, 'lon': 59.6072375}, {'lat': 36.3401388, 'lon': 59.6080668}, {'lat': 36.3459258, 'lon': 59.6113781}, {'lat': 36.3468997, 'lon': 59.611901}, {'lat': 36.3507774, 'lon': 59.6126945}, {'lat': 36.3590943, 'lon': 59.614411}, {'lat': 36.3648893, 'lon': 59.6225393}]"
منطقه ۸,55,5,651,2077,16,200,63,825,148,100.0,"[{'lat': 36.2979703, 'lon': 59.6059469}, {'lat': 36.2939669, 'lon': 59.6102006}]"
منطقه ۱۰,26,4,1499,3577,8,42,10,473,44,100.0,[]
منطقه ۹,193,3,2245,4803,16,151,57,1158,108,100.0,"[{'lat': 36.2859054, 'lon': 59.5563767}, {'lat': 36.2864007, 'lon': 59.5570641}]"
منطقه ۷,122,1,850,3962,21,104,18,862,50,100.0,"[{'lat': 36.2526622, 'lon': 59.5816067}, {'lat': 36.2482274, 'lon': 59.5852411}, {'lat': 36.2459691, 'lon': 59.5853269}]"
منطقه ۱۲,128,4,1856,5534,8,51,15,689,46,100.0,"[{'lat': 36.3562949, 'lon': 59.4732138}, {'lat': 36.3566149, 'lon': 59.4739138}]"
